Variant,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Estimates,1950,19161,16626,15265,14005,12920,12025,11429,11147,11215,11174,10786,10698,10897,10936,10981,10935,10878,10549,9969,9818,9682,9459,9243,8779,8690,8823,8542,8123,7948,7904,7700,7367,7258,7272,7228,7257,7170,6768,6403,6336,6423,6359,6114,5995,5980,5881,5790,5616,5361,5104,4752,4555,4515,4402,4331,4275,4192,4053,3763,3515,3476,3470,3321,3085,2860,2671,2575,2498,2325,2115,1823,1566,1416,1310,1225,1120,1035,939,804,684,603,538,462,380,313,258,206,162,124,91,65,44,30,20,12,7,4,2,1,1,1
Estimates,1951,20259,18034,16162,14936,13771,12749,11896,11327,11061,11136,11102,10720,10636,10837,10879,10925,10880,10823,10494,9914,9761,9622,9397,9179,8717,8627,8759,8479,8063,7887,7842,7638,7307,7197,7210,7165,7192,7103,6702,6335,6265,6345,6277,6030,5909,5891,5790,5697,5521,5263,5003,4650,4449,4402,4286,4212,4152,4066,3921,3630,3377,3323,3301,3143,2905,2682,2495,2395,2313,2143,1937,1658,1414,1269,1164,1080,979,897,806,682,573,498,437,370,299,242,196,154,120,90,65,45,30,20,13,8,4,2,1,1,1
Estimates,1952,21740,19110,17562,15827,14693,13596,12620,11796,11245,10988,11068,11038,10661,10580,10783,10826,10873,10828,10770,10440,9860,9704,9563,9336,9119,8659,8569,8699,8420,8005,7829,7783,7579,7249,7139,7150,7104,7128,7037,6635,6267,6193,6267,6195,5948,5824,5804,5701,5604,5424,5163,4900,4546,4342,4291,4173,4096,4031,3938,3786,3491,3233,3166,3128,2964,2729,2509,2324,2222,2134,1965,1765,1500,1269,1130,1029,946,851,771,684,571,473,405,350,292,232,185,147,114,87,64,45,31,20,13,8,5,3,1,1,1
Estimates,1953,22684,20542,18630,17221,15580,14506,13455,12512,11711,11174,10925,11008,10981,10609,10530,10734,10778,10824,10778,10718,10386,9806,9648,9506,9279,9062,8603,8513,8642,8364,7950,7774,7727,7523,7194,7083,7093,7044,7065,6970,6567,6198,6119,6188,6113,5866,5741,5717,5610,5509,5324,5059,4793,4441,4236,4181,4062,3980,3908,3806,3645,3346,3083,3004,2955,2789,2557,2342,2159,2053,1960,1792,1598,1349,1133,1001,904,823,733,656,575,473,385,324,276,226,177,139,108,82,61,44,30,20,13,8,5,3,1,1,1
Estimates,1954,22701,21457,20036,18282,16966,15390,14360,13343,12424,11640,11112,10868,10954,10930,10562,10485,10688,10732,10777,10728,10665,10333,9752,9593,9450,9223,9007,8551,8461,8587,8310,7897,7720,7672,7469,7141,7029,7035,6984,7000,6901,6497,6127,6045,6109,6032,5785,5658,5629,5518,5410,5220,4953,4685,4336,4131,4074,3951,3863,3782,3669,3498,3195,2930,2842,2784,2617,2390,2179,1998,1888,1790,1625,1439,1205,1005,881,789,711,625,551,476,385,309,256,215,173,133,102,78,58,42,30,20,13,8,5,3,1,1,1
Estimates,1955,23455,21500,20941,19671,18023,16777,15251,14253,13257,12353,11578,11057,10817,10905,10883,10518,10442,10644,10687,10729,10678,10612,10278,9698,9538,9395,9169,8954,8499,8409,8533,8256,7845,7668,7619,7415,7087,6974,6977,6922,6933,6829,6424,6054,5969,6029,5950,5702,5572,5538,5420,5306,5111,4843,4576,4231,4027,3964,3836,3740,3647,3523,3342,3038,2773,2679,2614,2448,2225,2017,1838,1724,1622,1462,1285,1069,885,769,681,606,525,456,387,308,243,198,163,130,98,74,55,40,28,19,12,8,5,3,1,1,1
Estimates,1956,23024,22251,21004,20573,19404,17829,16631,15141,14164,13183,12289,11522,11006,10770,10859,10839,10476,10401,10601,10641,10680,10626,10557,10223,9645,9484,9341,9116,8901,8449,8357,8480,8203,7793,7616,7566,7361,7033,6917,6916,6857,6862,6754,6349,5979,5892,5948,5866,5617,5482,5441,5317,5196,4998,4730,4466,4124,3920,3850,3715,3608,3503,3367,3178,2875,2614,2515,2445,2279,2060,1856,1678,1562,1459,1305,1139,940,771,663,580,509,434,371,309,241,187,150,122,95,70,51,37,26,18,12,7,4,3,1,1,1
Estimates,1957,23673,21876,21759,20649,20303,19204,17680,16515,15050,14087,13116,12232,11472,10960,10727,10817,10798,10436,10359,10557,10593,10630,10573,10502,10167,9591,9431,9289,9064,8849,8398,8306,8427,8150,7742,7564,7512,7307,6978,6859,6853,6789,6788,6677,6272,5904,5814,5866,5780,5528,5388,5338,5208,5083,4884,4618,4356,4017,3809,3731,3586,3468,3350,3204,3010,2712,2456,2354,2278,2111,1896,1695,1521,1404,1302,1156,1002,820,666,566,487,421,352,295,242,186,141,111,88,67,49,35,24,17,11,7,4,2,1,1,1
Estimates,1958,23684,22530,21412,21406,20388,20099,19047,17559,16417,14968,14017,13057,12179,11425,10918,10687,10778,10758,10396,10318,10511,10545,10578,10519,10447,10113,9539,9379,9237,9012,8798,8348,8256,8374,8098,7691,7513,7458,7251,6920,6797,6786,6717,6712,6598,6194,5827,5735,5781,5690,5434,5288,5231,5096,4968,4769,4505,4243,3905,3693,3604,3449,3319,3190,3037,2841,2550,2300,2194,2111,1944,1733,1537,1368,1253,1153,1016,873,707,567,475,403,341,280,231,185,140,104,80,63,47,33,23,15,10,6,4,2,1,1,1
Estimates,1959,20342,22185,21779,20948,21051,20117,19883,18871,17420,16298,14869,13929,12981,12113,11368,10866,10638,10729,10708,10346,10265,10454,10484,10515,10454,10381,10048,9477,9318,9175,8951,8736,8288,8195,8311,8035,7629,7449,7392,7181,6849,6721,6705,6632,6622,6504,6102,5737,5641,5679,5580,5320,5168,5104,4967,4836,4637,4374,4111,3772,3554,3452,3286,3146,3009,2851,2655,2372,2129,2019,1929,1762,1557,1369,1208,1097,1000,873,742,594,470,387,323,268,216,174,137,101,74,56,43,31,21,14,9,6,4,2,1,1,1
Estimates,1960,17520,18435,20974,21052,20437,20639,19793,19615,18645,17235,16136,14731,13809,12878,12025,11292,10798,10573,10663,10639,10275,10191,10375,10402,10430,10369,10295,9963,9396,9237,9093,8869,8654,8209,8115,8228,7952,7546,7364,7301,7087,6753,6621,6598,6520,6505,6384,5984,5619,5517,5544,5438,5173,5017,4947,4807,4673,4472,4207,3941,3600,3375,3260,3085,2937,2794,2633,2439,2166,1931,1817,1720,1557,1362,1184,1033,928,837,723,608,479,374,302,247,201,159,126,97,70,50,37,27,19,12,8,5,3,2,1,1,1
Estimates,1961,16069,15856,17401,20279,20547,20041,20312,19528,19382,18450,17067,15991,14606,13700,12785,11946,11221,10732,10507,10593,10566,10201,10114,10293,10318,10345,10283,10209,9879,9315,9155,9011,8787,8572,8129,8034,8143,7866,7460,7275,7207,6990,6653,6517,6489,6407,6387,6262,5863,5497,5388,5404,5290,5023,4863,4789,4646,4509,4303,4035,3764,3422,3190,3063,2883,2730,2583,2421,2230,1966,1739,1621,1521,1362,1179,1014,874,777,693,592,490,381,292,231,185,148,114,88,67,47,33,23,17,11,7,4,3,1,1,0,0
Estimates,1962,20190,15076,15362,17034,19961,20299,19838,20140,19384,19252,18339,16971,15907,14531,13635,12728,11894,11172,10683,10456,10538,10507,10141,10051,10228,10251,10277,10215,10140,9812,9250,9090,8946,8723,8509,8067,7971,8076,7799,7392,7203,7130,6910,6572,6433,6402,6317,6292,6163,5763,5395,5279,5286,5167,4900,4738,4661,4515,4372,4161,3888,3612,3268,3030,2896,2713,2557,2409,2246,2056,1801,1579,1460,1358,1206,1033,880,752,660,582,490,400,305,229,178,140,109,82,62,46,31,21,15,10,6,4,2,1,1,0,0
Estimates,1963,28171,19337,14807,15153,16854,19793,20160,19724,20039,19296,19172,18268,16909,15852,14481,13588,12684,11852,11130,10640,10411,10490,10456,10088,9997,10172,10195,10220,10157,10083,9755,9195,9035,8892,8669,8455,8015,7917,8020,7740,7332,7140,7063,6840,6502,6360,6326,6238,6208,6075,5673,5302,5179,5180,5057,4792,4629,4548,4397,4246,4029,3749,3468,3124,2884,2745,2562,2404,2254,2090,1901,1652,1438,1319,1216,1071,910,768,648,562,488,404,324,243,179,137,105,80,59,43,31,20,13,9,6,4,2,1,1,0,0
Estimates,1964,29754,27019,19010,14614,15000,16718,19664,20050,19629,19952,19219,19100,18204,16853,15800,14434,13544,12642,11810,11089,10597,10366,10441,10405,10037,9945,10119,10141,10165,10102,10027,9700,9142,8982,8839,8617,8403,7964,7864,7962,7680,7270,7075,6994,6769,6431,6288,6250,6158,6122,5982,5578,5205,5078,5073,4949,4685,4519,4431,4274,4114,3888,3603,3318,2977,2737,2595,2412,2253,2102,1936,1747,1507,1301,1183,1083,945,796,664,553,473,404,329,259,190,137,103,77,57,41,29,20,13,8,5,3,2,1,0,0,0
Estimates,1965,28286,28579,26586,18777,14473,14885,16614,19560,19957,19547,19875,19149,19035,18146,16801,15753,14390,13501,12601,11770,11047,10554,10321,10394,10356,9989,9896,10068,10090,10113,10049,9973,9647,9092,8932,8789,8566,8352,7912,7810,7903,7618,7207,7009,6925,6699,6361,6215,6173,6076,6032,5886,5480,5107,4977,4967,4841,4577,4407,4311,4144,3974,3741,3452,3166,2830,2593,2448,2265,2105,1950,1783,1597,1367,1171,1056,958,829,690,568,467,392,329,263,203,147,104,76,56,40,28,19,13,8,5,3,2,1,0,0,0
Estimates,1966,27962,27214,28144,26277,18607,14367,14796,16530,19474,19877,19474,19805,19086,18976,18093,16754,15709,14347,13460,12560,11729,11007,10513,10278,10349,10311,9944,9851,10022,10042,10064,10000,9923,9597,9044,8884,8740,8517,8301,7861,7755,7843,7556,7143,6943,6857,6630,6291,6142,6094,5990,5938,5786,5380,5008,4877,4863,4734,4467,4290,4184,4007,3827,3588,3298,3014,2685,2450,2303,2120,1958,1801,1634,1452,1233,1048,938,843,721,593,481,388,320,264,207,157,111,77,55,39,28,19,12,8,5,3,1,1,0,0,0
Estimates,1967,26754,26940,26821,27832,26049,18479,14285,14724,16459,19398,19806,19409,19743,19029,18922,18044,16710,15667,14307,13420,12521,11690,10967,10473,10238,10307,10268,9902,9808,9977,9996,10017,9952,9874,9550,8998,8837,8692,8467,8249,7808,7698,7781,7492,7080,6878,6789,6560,6220,6067,6012,5901,5842,5685,5280,4911,4778,4758,4623,4352,4168,4050,3864,3675,3432,3144,2864,2542,2310,2161,1977,1813,1655,1490,1314,1107,933,827,736,622,504,402,319,258,209,161,120,83,56,39,27,18,12,7,5,3,1,1,0,0,0
Estimates,1968,27883,25809,26570,26538,27600,25877,18378,14219,14664,16398,19332,19743,19351,19687,18978,18873,17999,16668,15626,14266,13379,12481,11650,10928,10435,10199,10267,10227,9862,9767,9934,9952,9972,9906,9828,9503,8953,8790,8644,8417,8196,7754,7641,7719,7429,7016,6813,6721,6490,6147,5988,5926,5809,5743,5583,5181,4815,4678,4651,4509,4232,4038,3908,3714,3520,3276,2991,2716,2401,2172,2019,1834,1670,1513,1352,1183,988,826,724,636,530,422,331,258,205,162,123,89,61,40,27,18,12,7,4,3,1,1,0,0,0
Estimates,1969,29502,26933,25471,26301,26327,27424,25741,18297,14163,14612,16344,19272,19686,19298,19636,18931,18827,17955,16626,15584,14225,13337,12440,11610,10889,10396,10161,10228,10187,9822,9727,9892,9908,9927,9860,9781,9457,8907,8743,8594,8364,8141,7698,7582,7656,7365,6953,6748,6651,6416,6071,5906,5837,5715,5644,5482,5083,4717,4576,4539,4388,4104,3901,3761,3562,3364,3121,2841,2569,2261,2033,1878,1694,1531,1377,1220,1059,877,725,628,544,446,350,269,205,160,124,92,66,44,28,18,12,7,4,2,1,1,0,0,0
Estimates,1970,29502,28538,26602,25227,26103,26167,27287,25632,18228,14114,14565,16295,19218,19634,19249,19588,18885,18782,17911,16583,15541,14181,13293,12397,11569,10849,10357,10122,10188,10146,9781,9685,9849,9865,9882,9815,9735,9410,8860,8694,8542,8310,8084,7640,7522,7592,7301,6888,6681,6579,6340,5991,5820,5745,5620,5546,5381,4983,4617,4469,4420,4259,3969,3758,3611,3408,3209,2967,2691,2424,2121,1895,1738,1557,1396,1246,1096,943,773,631,539,460,371,285,215,161,123,94,68,47,30,19,12,7,4,2,1,1,0,0,0
Estimates,1971,29014,28592,28211,26365,25049,25954,26044,27177,25540,18168,14071,14523,16251,19169,19586,19204,19542,18840,18736,17865,16538,15494,14134,13247,12352,11526,10809,10318,10083,10148,10105,9741,9644,9806,9821,9838,9769,9688,9362,8812,8643,8488,8253,8026,7582,7462,7529,7236,6823,6612,6505,6260,5908,5733,5654,5526,5448,5280,4882,4514,4356,4295,4124,3828,3613,3460,3256,3056,2816,2543,2278,1982,1759,1603,1425,1269,1123,979,834,675,544,458,384,304,229,170,124,93,69,49,33,21,12,7,4,2,1,1,0,0,0
